experiment,algorithm,msd_mean,msd_std,emse_mean,emse_std,cost_mean,cost_std,robust_rate_mean,robust_rate_std,wall_clock_sec_mean,wall_clock_sec_std
impulsive_p10_dlms,atc_lms_CI,0.009904679535158212,0.00141659176529544,0.014930444091151362,0.002687145952669911,1.0,0.0,0.0,0.0,1.7996570745599456,1.1390317735697804
impulsive_p10_dlms,cta_lms_CI,0.02459936576375891,0.002163576841916043,0.09886868363605739,0.013739400976717985,1.0,0.0,0.0,0.0,1.7546089301176835,1.1194986961660263
impulsive_p10_dlms,uniform_dmcc_atc,3.942245805183938e-05,4.125565514858983e-06,5.777325428751443e-05,6.0923406374896825e-06,10.0,0.0,1.0,0.0,1.8989144456456415,1.20776985181922
impulsive_p10_dlms,gated_dmcc_atc,3.9401380221237746e-05,4.114779201375778e-06,5.775075706369113e-05,6.079674130776347e-06,1.9057,0.025864545943087944,0.10063333333333332,0.00287383843812088,1.8532229399774223,1.1834098611285357
impulsive_p10_dlms,gated_dmcc_cta,9.40959879222168e-05,5.915861520204011e-06,0.000369980623605876,3.3069775670348154e-05,1.9057,0.025864545943087944,0.10063333333333332,0.00287383843812088,1.846464689890854,1.1804203432221083
noisy_node_weighting,noncoop_lms,0.03725656549784747,0.008080411455964356,0.05258857338917503,0.013577834915441884,1.0,0.0,0.0,0.0,0.5652488901512698,0.04157212369834912
noisy_node_weighting,atc_lms_CI,0.002827998236266574,0.0025227897334553187,0.004237714101808993,0.0036121209934864974,1.0,0.0,0.0,0.0,0.5509230598108843,0.04171701712381254
noisy_node_weighting,atc_lms_rdv_CI,1.176655659724552e-05,3.763674976734209e-06,1.7066414369314925e-05,5.023935440608533e-06,1.0,0.0,0.0,0.0,0.5467646851029713,0.04027051955600579
noisy_node_weighting,global_lms,0.0011432329868155424,0.0004326546017943003,0.0015308175345816503,0.0006493902120294283,1.0,0.0,0.0,0.0,8.94132086512982,0.5996928455322161
robust_baselines,atc_lms_CI,0.005068747678008375,0.0009908478212185964,0.007724866452664907,0.001964396112079697,1.0,0.0,0.0,0.0,2.7575048347294797,0.9667221265416515
robust_baselines,sign_error_atc,0.0009565982303265536,9.654402095996899e-05,0.0018938004957979114,0.0002982323085842431,2.0,0.0,1.0,0.0,2.86329451497877,1.0086443460106402
robust_baselines,huber_atc,6.055360064170381e-05,1.0037885665530356e-05,9.022506836884226e-05,1.6195767376916385e-05,4.0,0.0,1.0,0.0,2.705662010097876,0.9543288963434426
robust_baselines,uniform_dmcc_atc,2.4338249478425135e-05,4.985683629710659e-06,3.624092647729125e-05,8.787869174750779e-06,10.0,0.0,1.0,0.0,2.8969409947341775,1.0192900509576568
robust_baselines,gated_dmcc_atc,2.4353603783338382e-05,4.984043241274675e-06,3.627047444211671e-05,8.789505836387656e-06,1.4536300000000002,0.013850673553828952,0.05040333333333332,0.0015389637282032173,2.8231888996146153,0.9991357816610906
robust_baselines,gated_huber_atc,6.055360064170381e-05,1.0037885665530356e-05,9.022506836884226e-05,1.6195767376916385e-05,1.1522799999999997,0.004592625667993854,0.050760000000000007,0.0015308752226646117,2.7999497795826755,0.9853996283278891
scalability_N50_M2,atc_lms_CI,0.004150974256151933,0.0011722555282132742,0.006312447003491166,0.0023036370003231012,1.0,0.0,0.0,0.0,1.1526206799026113,0.061957236255637184
scalability_N50_M2,uniform_dmcc_atc,2.0781034798739743e-05,9.898916543545943e-06,3.3407719003154914e-05,2.0728061491811912e-05,10.0,0.0,1.0,0.0,1.2295823497115634,0.062258404112821034
scalability_N50_M2,gated_dmcc_atc,2.079329636889036e-05,9.872857582187282e-06,3.343191983135916e-05,2.069664045902784e-05,1.4563,0.029586025328469583,0.0507,0.0032873361476077286,1.1993429149326402,0.06551769525909283
strong_impulse,atc_lms_CI,0.12074590464624449,0.028721668548992094,0.17925709778990875,0.05461919292389021,1.0,0.0,0.0,0.0,3.652548585366458,0.2626079279382149
strong_impulse,sign_error_atc,0.0009542933844667895,0.0001145620589445781,0.0018326594543701057,0.0002867928908650964,2.0,0.0,1.0,0.0,3.7722777803370264,0.28316715937500025
strong_impulse,huber_atc,2.247370128903996e-05,3.626291926409171e-06,3.295871063647062e-05,5.2160613975718755e-06,4.0,0.0,1.0,0.0,3.604689925216371,0.27618304815983125
strong_impulse,uniform_dmcc_atc,1.5199562806795057e-05,2.516506850145804e-06,2.2431369879803607e-05,3.754117912735028e-06,10.0,0.0,1.0,0.0,3.816818019526545,0.2651563964810136
strong_impulse,gated_dmcc_atc,1.522557168474446e-05,2.5177301271544516e-06,2.247341754557015e-05,3.756399380130773e-06,1.7759800000000001,0.014210729823104198,0.08621999999999999,0.0015789699803449137,3.720382484723814,0.25516901220955635
strong_impulse,gated_huber_atc,2.247370128903996e-05,3.626291926409171e-06,3.295871063647062e-05,5.2160613975718755e-06,1.25895,0.004912229636326082,0.08631666666666668,0.0016374098787753529,3.719711464358261,0.2704355125833072
nonstationary,atc_lms_CI,0.004722645580237244,0.001344289278734134,0.006700887214287905,0.0017414119459093907,1.0,0.0,0.0,0.0,3.502127115428448,0.44968254424977855
nonstationary,uniform_dmcc_atc,2.3690363984155213e-05,5.335197529890541e-06,3.501694104202358e-05,7.5622514985621855e-06,10.0,0.0,1.0,0.0,3.69007973515545,0.47698902665997545
nonstationary,gated_dmcc_atc,2.370556508676387e-05,5.327693689852034e-06,3.5046540822353565e-05,7.558062907686949e-06,1.461325,0.019614894313948472,0.05125833333333333,0.0021794327015498298,3.6065845491772053,0.4650004130418209
nonstationary,huber_atc,1.6972764727168982e-05,3.827998028403545e-06,2.5286458909866947e-05,5.539649475172259e-06,4.0,0.0,1.0,0.0,3.4381389599351677,0.44996401044769485
nonstationary,sign_error_atc,0.0009333276276190241,9.836853343583152e-05,0.0018312517340079212,0.0002986704991251027,2.0,0.0,1.0,0.0,3.5793922257842494,0.4606472989995696
nonstationary,gated_huber_atc,1.6972764727168982e-05,3.827998028403545e-06,2.5286458909866947e-05,5.539649475172259e-06,1.154025,0.006572420446556628,0.051341666666666674,0.0021908068155188786,3.57309496984235,0.4580421523861765
